S.No,Hospital Name,Hospital Type,District,Mandal,Municipality,Mithra Name (Mobile Number),Specialities
44,Area Hospital Chevella,Government-TVVP,Rangareddy,Chevella,-,P.Narender Reddy (9989688085),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
45,Area Hospital Choppadandi,Government-TVVP,Karimnagar,Choppadandi,Choppandandi,Padidam Rajaiah (9618465312); Ramadevi (9618465312),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
46,Area Hospital Choutuppal,Government-TVVP,Yadadri Bhuvanagiri,Choutuppal,Choutuppal,Cherala Dhanamma (9505656874); Meesla Mahesh (9542079797); Deshaboina Linga Swamy (9912052505); V. Shirisha(9703271161),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
47,Area Hospital Dabeerpura,Government-TVVP,Hyderabad,Nampally,Ghmc,Dr.M.Suseela Rathanam(9866711646); Dr.Deendayal Markandeyulu Rapolu(9989445930),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
48,Area Hospital Devarakadra,Government-TVVP,Mahabubnagar,Devarakadara,-,Dr Shabana (7799090986); Dr.Ragvendar Reddy (8977744111),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
49,Area Hospital Devarakonda,Government-TVVP,Nalgonda,Devarakonda,Devarakonda,Busharaju Padma (8500161737); Vadathya Bhojya (9440469541); Goli Naga Raju (9848734578),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
50,Area Hospital Dharmapuri,Government-TVVP,Jagtial,Dharmapuri,Dharmapuri,Sappa Raju (8179213265),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
51,Area Hospital Dharpally,Government-TVVP,Nizamabad,Dharpalle,-,Banavath Narendhar (9491315308),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
52,Area Hospital Dubbak,Government-TVVP,Siddipet,Dubbak,Siddipet,Raju Kaki(9666783645),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
53,Area Hospital Gadwal,Government-DME,Jogulamba Gadwal,Gadwal,Gadwal,Chakali .Venkatesh (7981528085); Laxmi (7702075356); Prabhakar (9959915609); Chinna Babu (9160813303); Thayanna (9966542655),S1 - General Surgery; S1 - General Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
54,Area Hospital Gajwel,Government-TVVP,Siddipet,Gajwel,Gajwel,T.Mahipal (9492305647); Venkat Reddy (9963256434),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
55,Area Hospital Ghanpur,Government-TVVP,Jangoan,Ghanpur(Station),-,G Ravinder (9951547263); Dr.Srivani (9951547263); Dr.Ravi Rathod (7893600561),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
56,Area Hospital Ghatkesar,Government-TVVP,Medchal-Malkajgiri,Ghatkesar,Ghatkesar,Vani K(9908010940),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
57,Area Hospital Golconda,Government-TVVP,Hyderabad,Golconda,Ghmc,Neeraja (8978977830),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
58,Area Hospital Husnabad,Government-TVVP,Siddipet,Husnabad,Husnabad,Dindigala Ramesh (8096712418),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
59,Area Hospital Huzurabad,Government-TVVP,Karimnagar,Huzurabad,Huzurabad,Guarappa Ramesh (9959711892); T.Venkat Rajam (9177992722),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
60,Area Hospital Huzurnagar,Government-TVVP,Suryapet,Huzurnagar,Huzurnagar,Banda Pulla Reddy (9966909677); Ammanaboina Guru Prasad (9912095735); Ranapangu Narasimha Rao (9948416468),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
